	iid	bam	sex
164	PTN489	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN489/trimmed_bam/PTN489_ss.A0101_udghalf.trimmed.bam	m
165	PTN108	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN108/trimmed_bam/PTN108_ss.B0101_udghalf.trimmed.bam	m
166	PTN242	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN242/merged_bams/initial/PTN242_ss_udghalf_libmerged_rmdup.bam	m
167	PTN161	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN161/trimmed_bam/PTN161_ss.A0101_udghalf.trimmed.bam	m
168	PTN093	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN093/trimmed_bam/PTN093_ss.A0101_udghalf.trimmed.bam	m
169	PTN482	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN482/trimmed_bam/PTN482_ss.A0101_udghalf.trimmed.bam	m
170	PTN181	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN181/merged_bams/initial/PTN181_ss_udghalf_libmerged_rmdup.bam	m
171	PTN166	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN166/merged_bams/initial/PTN166_ss_udghalf_libmerged_rmdup.bam	m
172	PTN387	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN387/trimmed_bam/PTN387_ss.B0101_udghalf.trimmed.bam	m
173	PTN449	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN449/trimmed_bam/PTN449_ss.B0101_udghalf.trimmed.bam	m
174	PTN391	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN391/trimmed_bam/PTN391_ss.B0101_udghalf.trimmed.bam	m
175	PTN464	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN464/trimmed_bam/PTN464_ss.B0101_udghalf.trimmed.bam	m
176	PTN399	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN399/trimmed_bam/PTN399_ss.A0101_udghalf.trimmed.bam	m
177	PTN382	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN382/trimmed_bam/PTN382_ss.B0101_udghalf.trimmed.bam	m
